timestamp,cycle_id,cycle_label,season_window,real_or_synthetic_flag,year,month,day_of_year,week_of_year,hour,season_label,days_from_cycle_start,stage_name,stage_index,hours_in_current_stage,days_in_current_stage,stage_duration_hours,stage_duration_days,stage_progress_pct,total_cycle_progress_pct,estimated_days_to_next_stage,estimated_hours_to_next_stage,is_stage_transition,indoor_temp,indoor_humidity,indoor_air_velocity,indoor_CO2,solarradiation,day_night_flag,vpd,dew_point,leaf_wetness_proxy,temperature_rolling_mean_24h,humidity_rolling_mean_24h,vpd_proxy,light_period_flag,cumulative_gdd_like_index,cycle_origin_type,prototype_cycle_id,augmentation_method,run_id,target_stage_24h,target_stage_index_24h,target_stage_progress_24h,target_stage_48h,target_stage_index_48h,target_stage_progress_48h,target_hours_to_next_stage,time_idx,abs_time_idx,split
2024-07-01 00:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,0.0,-0.084848486,-0.083333336,-1.0,southwest_monsoon,0.0,seedling,-1.0,0.0,0.0,288,12,-0.99767905,0.0,12.0,288.0,False,-0.20696177,0.32627675,0.36956668,0.5502668,-0.061699815,-1.0,-0.2981338,-0.05681025,0.0,-0.47802642,0.3432132,0.9643,-1.0,-0.99983066,original,1,original,growth_progression_20260308_202542,seedling,0.0,8.333,seedling,0.0,16.667,288.0,0,0,train
2024-07-28 17:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,0.0,0.07878788,0.041666668,0.47826087,southwest_monsoon,27.7083,early_vegetative,-0.6666667,377.0,15.7083,624,26,0.23235881,24.521,10.2917,247.0,False,0.42621055,-0.5171277,0.85628337,0.5502668,0.36733702,-1.0,0.55255663,0.104955316,0.0,0.47197294,-0.7663922,1.8183,0.0,-0.47776067,original,1,original,growth_progression_20260308_202542,early_vegetative,1.0,64.263,early_vegetative,1.0,68.109,247.0,665,665,train
2024-08-25 11:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,0.2,0.24848485,0.20833333,-0.04347826,southwest_monsoon,55.4583,flowering,0.0,155.0,6.4583,408,17,-0.22423552,49.078,10.5417,253.0,False,1.5277814,-1.2476418,0.36956668,-0.6594932,1.7266021,0.0,2.002399,1.0325036,0.0,0.2341691,-0.31108972,3.2738,0.0,0.030804878,original,1,original,growth_progression_20260308_202542,flowering,3.0,43.873,flowering,3.0,49.755,253.0,1331,1331,train
2024-09-22 05:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,0.4,0.4181818,0.375,-0.5652174,southwest_monsoon,83.2083,unripe,0.33333334,413.0,17.2083,768,32,0.09715379,73.636,14.7917,355.0,False,0.27261078,-1.152971,-0.6444264,-0.3786495,-0.061699815,0.0,0.94205254,-0.6712767,0.0,0.6169127,-1.0386693,2.2093,-1.0,0.56000465,original,1,original,growth_progression_20260308_202542,unripe,4.0,56.901,unripe,4.0,60.026,355.0,1997,1997,train
2024-10-19 23:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,0.6,0.58181816,0.5416667,1.0,northeast_monsoon,110.9583,ripe,0.6666667,311.0,12.9583,360,15,0.7611263,98.193,2.0417,49.0,False,-0.7257877,1.1659871,-0.6444264,0.5502668,-0.061699815,-1.0,-0.8974114,-0.05903736,1.0,-0.43861273,0.7340823,0.3627,-1.0,1.0608877,original,1,original,growth_progression_20260308_202542,ripe,5.0,93.056,ripe,5.0,99.722,49.0,2663,2663,train
2024-11-10 00:00:00,2,rabi_2024,Rabi (Oct–Nov 2024),synthetic,2024,0.8,0.7151515,0.6666667,-1.0,northeast_monsoon,0.0,seedling,-1.0,0.0,0.0,288,12,-0.99767905,0.0,12.0,288.0,False,-0.74456096,0.58186084,0.12620834,0.5502668,-0.061699815,-1.0,-0.5819688,-0.5979861,0.0,-1.2181895,0.6162362,0.6794,-1.0,-0.9999432,original,2,original,growth_progression_20260308_202542,seedling,0.0,8.333,seedling,0.0,16.667,288.0,0,3168,train
2024-12-06 17:00:00,2,rabi_2024,Rabi (Oct–Nov 2024),synthetic,2024,1.0,0.8727273,0.8333333,0.47826087,dry_cool,26.7083,early_vegetative,-0.6666667,353.0,14.7083,624,26,0.15405758,24.503,11.2917,271.0,False,-0.24578843,0.72962403,-0.40106806,0.5502668,0.34552157,-1.0,-0.56450397,0.24161588,0.0,-0.5546861,0.67046124,0.6969,0.0,-0.554142,original,2,original,growth_progression_20260308_202542,early_vegetative,1.0,60.417,early_vegetative,1.0,64.263,271.0,641,3809,train
2025-01-02 11:00:00,2,rabi_2024,Rabi (Oct–Nov 2024),synthetic,2025,-1.2,-1.1818181,-1.1666666,-0.04347826,dry_cool,53.4583,flowering,0.0,155.0,6.4583,336,14,-0.058491796,49.044,7.5417,181.0,False,0.4020919,-0.38853714,-0.40106806,-0.5919741,1.2966669,0.0,0.44110134,0.18338308,0.0,-1.0108117,0.22334945,1.7064,0.0,-0.111557245,original,2,original,growth_progression_20260308_202542,flowering,3.0,53.274,flowering,3.0,60.417,181.0,1283,4451,train
2025-01-29 05:00:00,2,rabi_2024,Rabi (Oct–Nov 2024),synthetic,2025,-1.2,-1.0181818,-1.0,-0.5652174,dry_cool,80.2083,unripe,0.33333334,461.0,19.2083,792,33,0.18736511,73.586,13.7917,331.0,False,-0.97538733,0.38053355,0.12620834,-0.3786495,-0.061699815,0.0,-0.5266198,-1.103124,0.0,-1.0738049,0.22628613,0.7349,-1.0,0.31725898,original,2,original,growth_progression_20260308_202542,unripe,4.0,61.237,unripe,4.0,64.268,331.0,1925,5093,train
2025-02-24 23:00:00,2,rabi_2024,Rabi (Oct–Nov 2024),synthetic,2025,-1.0,-0.8606061,-0.8333333,1.0,dry_cool,106.9583,ripe,0.6666667,311.0,12.9583,360,15,0.7611263,98.127,2.0417,49.0,False,-0.74498767,0.31196222,0.36956668,0.5502668,-0.061699815,-1.0,-0.43536466,-0.83526933,0.0,-0.34210074,-0.17885336,0.8265,-1.0,0.7752507,original,2,original,growth_progression_20260308_202542,ripe,5.0,93.056,ripe,5.0,99.722,49.0,2567,5735,train
