timestamp,cycle_id,cycle_label,season_window,real_or_synthetic_flag,year,month,day_of_year,week_of_year,hour,season_label,days_from_cycle_start,stage_name,stage_index,hours_in_current_stage,days_in_current_stage,stage_duration_hours,stage_duration_days,stage_progress_pct,total_cycle_progress_pct,estimated_days_to_next_stage,estimated_hours_to_next_stage,is_stage_transition,indoor_temp,indoor_humidity,indoor_air_velocity,indoor_CO2,solarradiation,day_night_flag,vpd,dew_point,leaf_wetness_proxy,temperature_rolling_mean_24h,humidity_rolling_mean_24h,vpd_proxy,light_period_flag,cumulative_gdd_like_index,cycle_origin_type,prototype_cycle_id,augmentation_method,run_id,target_stage_24h,target_stage_index_24h,target_stage_progress_24h,target_stage_48h,target_stage_index_48h,target_stage_progress_48h,target_hours_to_next_stage
2024-07-01 00:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,0,southwest_monsoon,0.0,seedling,0,0.0,0.0,288,12,0.0,0.0,12.0,288.0,False,29.0022225211328,75.92962913144534,2.41,440.0,0.0,0.0,0.9643052986270528,24.188148347421865,0.0,29.0022,75.9296,0.9643,0,0.7918,original,1,original,growth_progression_20260308_202542,seedling,0.0,8.333,seedling,0.0,16.667,288.0
2024-07-13 13:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,195,28,13,southwest_monsoon,12.5417,early_vegetative,1,13.0,0.5417,624,26,2.083,11.099,25.4583,611.0,False,35.097222548022714,64.17029981274311,2.77,392.0021341583265,159.95731683346972,1.0,2.025440595146067,27.931282510571336,0.0,30.7139,73.0535,2.0254,1,246.0189,original,1,original,growth_progression_20260308_202542,early_vegetative,1.0,5.929,early_vegetative,1.0,9.776,611.0
2024-07-26 02:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,208,30,2,southwest_monsoon,25.0833,early_vegetative,1,314.0,13.0833,624,26,50.321,22.198,12.9167,310.0,False,29.37867965644036,62.13553390593274,2.77,400.0,0.0,1.0,1.5502376540456737,21.805786437626907,0.0,31.808,63.8293,1.5502,0,490.044,original,1,original,growth_progression_20260308_202542,early_vegetative,1.0,54.167,early_vegetative,1.0,58.013,310.0
2024-08-07 15:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,8,220,32,15,southwest_monsoon,37.625,early_vegetative,1,615.0,25.625,624,26,98.558,33.296,0.375,9.0,False,30.8,81.2,1.84,440.0,133.99673503485076,0.0,0.8350379266196692,27.040000000000003,0.0,29.7521,79.126,0.835,1,735.297,original,1,original,growth_progression_20260308_202542,flowering_initiation,2.0,5.682,flowering_initiation,2.0,14.773,9.0
2024-08-20 04:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,8,233,34,4,southwest_monsoon,50.1667,flowering,3,28.0,1.1667,408,17,6.863,44.395,15.8333,380.0,False,27.623542864692435,81.69409522551261,1.4800000000000002,400.0,0.0,1.0,0.6769271649392001,23.96236190979496,0.0,29.6898,84.028,0.6769,0,969.6359,original,1,original,growth_progression_20260308_202542,flowering,3.0,12.745,flowering,3.0,18.627,380.0
2024-09-01 18:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,9,245,35,18,southwest_monsoon,62.75,flowering,3,330.0,13.75,408,17,80.882,55.531,3.25,78.0,False,30.623542864692435,72.19409522551261,1.66,440.0,2.3635683223543918e-14,0.0,1.2226808877847826,25.06236190979496,0.0,31.3829,68.3585,1.2227,0,1211.597,original,1,original,growth_progression_20260308_202542,flowering,3.0,86.765,flowering,3.0,92.647,78.0
2024-09-14 07:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,9,258,37,7,southwest_monsoon,75.2917,unripe,4,223.0,9.2917,768,32,29.036,66.63,22.7083,545.0,False,34.60609675017775,51.99695162491113,3.17,396.9847581245557,60.30483750888733,1.0,2.6408481389147425,25.005487075159973,0.0,33.671,57.9895,2.6408,1,1460.7086,original,1,original,growth_progression_20260308_202542,unripe,4.0,32.161,unripe,4.0,35.286,545.0
2024-09-26 20:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,9,270,39,20,southwest_monsoon,87.8333,unripe,4,524.0,21.8333,768,32,68.229,77.729,10.1667,244.0,False,30.67867965644036,65.93553390593274,2.23,440.0,0.0,0.0,1.502603784390184,23.86578643762691,0.0,33.0503,58.8686,1.5026,0,1710.8601,original,1,original,growth_progression_20260308_202542,unripe,4.0,71.354,unripe,4.0,74.479,244.0
2024-10-09 09:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,10,283,41,9,northeast_monsoon,100.375,ripe,5,57.0,2.375,360,15,15.833,88.827,12.625,303.0,False,32.81053782398492,74.11364217476202,1.84,393.218845968421,135.62308063157982,1.0,1.288347759615946,27.63326625893732,0.0,29.1786,80.2065,1.2883,1,1947.0189,original,1,original,growth_progression_20260308_202542,ripe,5.0,22.5,ripe,5.0,29.167,303.0
2024-10-21 23:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,10,295,43,23,northeast_monsoon,112.9583,ripe,5,359.0,14.9583,360,15,99.722,99.963,0.0417,1.0,False,26.5,90.3,1.3,440.0,0.0,0.0,0.3358219888033891,24.56,1.0,29.5494,82.6003,0.3358,0,2174.6835,original,1,original,growth_progression_20260308_202542,,,,,,,1.0
