timestamp,cycle_id,cycle_label,season_window,real_or_synthetic_flag,year,month,day_of_year,week_of_year,hour,season_label,days_from_cycle_start,stage_name,stage_index,hours_in_current_stage,days_in_current_stage,stage_duration_hours,stage_duration_days,stage_progress_pct,total_cycle_progress_pct,estimated_days_to_next_stage,estimated_hours_to_next_stage,is_stage_transition,indoor_temp,indoor_humidity,indoor_air_velocity,indoor_CO2,solarradiation,day_night_flag,vpd,dew_point,leaf_wetness_proxy,temperature_rolling_mean_24h,humidity_rolling_mean_24h,vpd_proxy,light_period_flag,cumulative_gdd_like_index
2024-07-01 00:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,0,southwest_monsoon,0.0,seedling,0,0.0,0.0,288,12,0.0,0.0,12.0,288.0,False,29.002222521132797,75.92962913144534,2.41,440.0,0.0,0.0,0.9643052986270528,24.188148347421865,0.0,29.0022,75.9296,0.9643,0,0.7918
2024-07-01 01:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,1,southwest_monsoon,0.0417,seedling,0,1.0,0.0417,288,12,0.347,0.037,11.9583,287.0,False,27.801923788646683,70.8301270189222,2.41,400.0,0.0,1.0,1.0899480827820809,21.96794919243112,0.0,28.4021,73.3799,1.0899,0,1.5335
2024-07-01 02:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,2,southwest_monsoon,0.0833,seedling,0,2.0,0.0833,288,12,0.694,0.074,11.9167,286.0,False,28.27867965644036,70.03553390593274,2.41,400.0,0.0,1.0,1.151144817481546,22.285786437626903,0.0,28.3609,72.2651,1.1511,0,2.2951
2024-07-01 03:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,3,southwest_monsoon,0.125,seedling,0,3.0,0.125,288,12,1.042,0.111,11.875,285.0,False,28.9,69.0,2.41,400.0,0.0,1.0,1.2346020213549955,22.7,0.0,28.4957,71.4488,1.2346,0,3.0826
2024-07-01 04:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,4,southwest_monsoon,0.1667,seedling,0,4.0,0.1667,288,12,1.389,0.147,11.8333,284.0,False,29.623542864692435,67.7940952255126,2.41,400.0,0.0,1.0,1.3372862004580175,23.18236190979496,0.0,28.7213,70.7179,1.3373,0,3.9003
2024-07-01 05:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,5,southwest_monsoon,0.2083,seedling,0,5.0,0.2083,288,12,1.736,0.184,11.7917,283.0,False,30.4,66.5,2.41,400.0,0.0,1.0,1.4543658636168524,23.7,0.0,29.0011,70.0149,1.4544,0,4.7336
2024-07-01 06:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,6,southwest_monsoon,0.25,seedling,0,6.0,0.25,288,12,2.083,0.221,11.75,282.0,False,31.17645713530756,65.2059047744874,2.41,400.0,0.0,1.0,1.578928826942751,24.217638090205043,0.0,29.3118,69.3279,1.5789,0,5.5669
2024-07-01 07:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,7,southwest_monsoon,0.2917,seedling,0,7.0,0.2917,288,12,2.431,0.258,11.7083,281.0,False,32.82036052438456,63.53981973780771,2.41,397.6990986890386,46.01802621922819,1.0,1.8156016920687672,25.528324471946103,0.0,29.7504,68.6044,1.8156,1,6.4003
2024-07-01 08:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,8,southwest_monsoon,0.3333,seedling,0,8.0,0.3333,288,12,2.778,0.295,11.6667,280.0,False,34.29932034355964,62.07546609406725,2.41,395.555,88.89999999999999,1.0,2.051168722490259,26.714413562373093,0.0,30.2558,67.879,2.0512,1,7.2336
2024-07-01 09:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,9,southwest_monsoon,0.375,seedling,0,9.0,0.375,288,12,3.125,0.332,11.625,279.0,False,35.51254792525268,60.91263712412812,2.41,393.7138207152516,125.72358569496816,1.0,2.2607877531467486,27.695075350078294,0.0,30.7815,67.1823,2.2608,1,8.0669
2024-07-01 10:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,10,southwest_monsoon,0.4167,seedling,0,10.0,0.4167,288,12,3.472,0.369,11.5833,278.0,False,36.37736381472467,60.13057770062591,2.41,392.3010341603563,153.9793167928732,1.0,2.418125904071393,28.40347935484985,0.0,31.2902,66.5413,2.4181,1,8.9003
2024-07-01 11:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,11,southwest_monsoon,0.4583,seedling,0,11.0,0.4583,288,12,3.819,0.406,11.5417,277.0,False,36.83483223828392,59.78258388085803,2.41,391.41291940429016,171.74161191419637,1.0,2.5009539585015905,28.791349014455527,0.0,31.7523,65.978,2.501,1,9.7336
2024-07-01 12:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,12,southwest_monsoon,0.5,seedling,0,12.0,0.5,288,12,4.167,0.442,11.5,276.0,False,36.8537774788672,59.89237086855465,2.41,391.11,177.8,1.0,2.496704712775768,28.83225165257813,0.0,32.1447,65.5099,2.4967,1,10.5669
2024-07-01 13:00:00,1,kharif_2024,Kharif (Jun–Jul 2024),synthetic,2024,7,183,27,13,southwest_monsoon,0.5417,seedling,0,13.0,0.5417,288,12,4.514,0.479,11.4583,275.0,False,36.43290844963724,60.45245686193584,2.41,391.41291940429016,171.74161191419637,1.0,2.4059029256354347,28.523399822024405,0.0,32.451,65.1487,2.4059,1,11.4003
