timestamp,event_type,duration_minutes,amount_increase
2026-01-29 09:25:00,ventilation_increase,105.0,
2026-01-22 12:30:00,ventilation_increase,45.0,
2026-01-03 21:35:00,ventilation_increase,105.0,
2026-01-12 09:15:00,ventilation_increase,135.0,
2026-01-09 07:50:00,ventilation_increase,105.0,
2026-01-24 18:55:00,ventilation_increase,115.0,
2026-01-23 04:10:00,ventilation_increase,160.0,
2026-01-01 04:55:00,ventilation_increase,90.0,
2026-01-15 00:45:00,ventilation_increase,50.0,
2026-01-06 23:00:00,ventilation_increase,70.0,
2026-01-26 06:40:00,ventilation_increase,80.0,
2026-01-25 18:40:00,ventilation_increase,45.0,
2026-01-10 19:20:00,ventilation_increase,60.0,
2026-01-25 23:15:00,ventilation_increase,140.0,
2026-01-18 22:55:00,ventilation_increase,75.0,
2026-01-14 22:10:00,co2_injection,105.0,
2026-01-23 23:35:00,co2_injection,30.0,
2026-01-18 01:35:00,co2_injection,90.0,
2026-01-25 17:25:00,co2_injection,115.0,
2026-01-12 03:50:00,co2_injection,30.0,
2026-01-04 19:50:00,co2_injection,95.0,
2026-01-16 07:35:00,co2_injection,90.0,
2026-01-17 00:20:00,co2_injection,85.0,
2026-01-21 20:05:00,co2_injection,35.0,
2026-01-09 00:25:00,co2_injection,30.0,
2026-01-01 03:55:00,irrigation,,21.046784186613788
2026-01-01 13:55:00,irrigation,,20.97925661191977
2026-01-02 03:35:00,irrigation,,17.812152018763125
2026-01-02 13:05:00,irrigation,,17.27331945961793
2026-01-03 02:25:00,irrigation,,20.30938777184602
2026-01-03 13:40:00,irrigation,,23.78934317044047
2026-01-04 05:25:00,irrigation,,18.561359279039056
2026-01-04 13:40:00,irrigation,,16.156634663454373
2026-01-04 20:45:00,irrigation,,19.535626980504595
2026-01-05 03:50:00,irrigation,,17.412619474010768
2026-01-05 12:05:00,irrigation,,15.554545101314552
2026-01-05 18:15:00,irrigation,,23.85617431345944
2026-01-06 08:00:00,irrigation,,22.91714888010647
2026-01-06 18:55:00,irrigation,,17.511940878365362
2026-01-07 08:30:00,irrigation,,18.796114790751634
2026-01-07 20:20:00,irrigation,,19.05323955406543
2026-01-08 03:30:00,irrigation,,15.475177703234714
2026-01-08 09:55:00,irrigation,,19.69924063549293
2026-01-08 18:10:00,irrigation,,19.47913078631102
2026-01-09 13:10:00,irrigation,,19.726907932341792
2026-01-09 23:10:00,irrigation,,16.72484370058342
2026-01-10 11:35:00,irrigation,,24.358114239208206
2026-01-11 06:30:00,irrigation,,15.936776023719938
2026-01-11 18:10:00,irrigation,,24.352674661918584
2026-01-12 14:40:00,irrigation,,20.175939790137697
2026-01-13 13:35:00,irrigation,,22.32117783709203
2026-01-14 04:40:00,irrigation,,19.153719643506975
2026-01-14 18:30:00,irrigation,,16.106463567751625
2026-01-15 07:30:00,irrigation,,16.237168693876086
2026-01-15 13:50:00,irrigation,,23.754877450269298
2026-01-16 04:05:00,irrigation,,15.725205873487631
2026-01-16 16:05:00,irrigation,,20.260849508201986
2026-01-17 04:55:00,irrigation,,19.97377592281171
2026-01-17 18:20:00,irrigation,,17.85293193541478
2026-01-18 03:55:00,irrigation,,18.51503243671161
2026-01-18 17:35:00,irrigation,,20.36049948821865
2026-01-19 00:00:00,irrigation,,24.7983044091584
2026-01-19 17:25:00,irrigation,,18.277553221778064
2026-01-20 06:15:00,irrigation,,15.654628266559294
2026-01-20 12:05:00,irrigation,,16.635738120674382
2026-01-20 17:20:00,irrigation,,18.003072947851372
2026-01-21 11:55:00,irrigation,,24.436417917708557
2026-01-22 06:20:00,irrigation,,23.15307922460783
2026-01-22 22:20:00,irrigation,,22.94184330108191
2026-01-23 10:50:00,irrigation,,20.27814822362702
2026-01-23 17:20:00,irrigation,,15.241329210264507
2026-01-23 23:00:00,irrigation,,24.140646802178864
2026-01-24 09:45:00,irrigation,,18.088488501706934
2026-01-24 19:30:00,irrigation,,22.86893825927352
2026-01-25 05:45:00,irrigation,,18.95898024154603
2026-01-25 20:05:00,irrigation,,19.55918961790607
2026-01-26 02:40:00,irrigation,,24.51857375078255
2026-01-26 19:10:00,irrigation,,15.510392344144378
2026-01-27 19:45:00,irrigation,,19.08370582432695
2026-01-28 05:15:00,irrigation,,15.447981932113663
2026-01-28 10:40:00,irrigation,,23.61465994743114
2026-01-28 23:25:00,irrigation,,17.710668007414156
2026-01-29 08:10:00,irrigation,,21.029598110130998
2026-01-29 19:35:00,irrigation,,15.329400950170838
2026-01-30 02:45:00,irrigation,,22.469619044387393
2026-01-30 12:40:00,irrigation,,17.514899995332698
